k,arm,overlap
5,abstract,0.2
5,intro,0.0
5,abstract,0.0
5,intro,0.0
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.0
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.6
5,intro,0.6
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.0
5,abstract,0.4
5,intro,0.4
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.2
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.2
5,intro,0.2
5,abstract,0.4
5,intro,0.2
5,abstract,0.4
5,intro,0.2
5,abstract,0.6
5,intro,0.6
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.2
5,intro,0.2
5,abstract,0.0
5,intro,0.0
5,abstract,0.0
5,intro,0.0
5,abstract,0.8
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.0
5,intro,0.0
5,abstract,0.4
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.6
5,intro,0.6
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.2
5,abstract,0.4
5,intro,0.2
5,abstract,0.4
5,intro,0.6
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.0
5,intro,0.0
5,abstract,0.4
5,intro,0.8
5,abstract,0.4
5,intro,0.6
5,abstract,0.0
5,intro,0.0
5,abstract,0.8
5,intro,0.8
5,abstract,0.0
5,intro,0.0
5,abstract,0.4
5,intro,0.4
5,abstract,0.0
5,intro,0.0
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.0
5,intro,0.0
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.0
5,intro,0.0
5,abstract,0.4
5,intro,0.4
5,abstract,0.8
5,intro,0.8
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.0
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.0
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.4
5,abstract,0.2
5,intro,0.4
5,abstract,0.4
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.0
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.0
5,intro,0.0
5,abstract,0.0
5,intro,0.0
5,abstract,0.0
5,intro,0.8
5,abstract,0.6
5,intro,0.4
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,1.0
5,abstract,0.2
5,intro,1.0
5,abstract,0.4
5,intro,0.6
5,abstract,0.4
5,intro,0.2
5,abstract,1.0
5,intro,1.0
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.0
5,intro,0.0
5,abstract,0.0
5,intro,0.0
5,abstract,0.2
5,intro,0.4
5,abstract,0.2
5,intro,0.4
5,abstract,0.4
5,intro,0.4
5,abstract,0.2
5,intro,0.4
5,abstract,0.2
5,intro,0.4
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.0
5,intro,0.0
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
5,intro,0.2
5,abstract,0.2
